AREA,N° CRUCE,INTERSECCIÓN,Controlador tipo,Centralizado ,Restan cambiar,En sistema,Conexión,Proyecto,Subárea,Edad
1,,Juncal-Junín,-,SI,,,,,,
1,,9 de Julio Av.-Alvear Marcelo T. ,-,SI,,,,,,
1,,9 de Julio Av.-Viamonte,-,SI,,,,,,
1,,Lavalle-Pellegrini Carlos,-,SI,,,,,,
1,,Mitre Bartolomé-Florida,-,SI,,,,,,
1,,Beruti-Ecuador,-,SI,,,,,,
1,,Lavalle-Boulogne Sur Mer,-,SI,,,,,,
1,,Lavalle - J. Jaures,-,SI,,,,,,
1,,Santa Fe-Maipu contracarril,-,SI,,,,,,
1,,"Güemes Macacha Boul ""Norte""-Av. De los Italianos",-,SI,,,,,,
1,,Grierson Cecilia Av.-Manso Juana,Autotrol CT800,SI,,,,,,25
1,,Manso Juana-Sánchez de Thompson Mariquita,Autotrol CT800,SI,,,,,,25
1,,Manso Juana-Guevara Tinidad,Autotrol CT800,SI,,,,,,25
1,,Paraguay-Maipú,Swarco  ITC-2,SI,,,,,,1
1,,Laprida Salida de Bomberos,Swarco  ITC-2,NO,,,,,,1
1,,Suipacha-Lavalle,Swarco  ITC-2,SI,,,,,,1
1,,Pórtico 1-Alem-Rojas-M. T. de Alvear,Siemens CLE,SI,,Citar,,,,25
1,,Pórtico 2-Alem-Alvear-Paraguay,Siemens CLE,SI,,Citar,,,,25
1,,Pórtico 3-Alem-Paraguay-Córdoba,Siemens CLE,SI,,Citar,,,,25
1,,Pórtico 4-Alem-Córdoba-Viamonte,Siemens CLE,SI,,Citar,,,,25
1,,Pórtico 5-Alem-Viamonte-Tucumán,Siemens CLE,SI,,Citar,,,,25
1,,Pórtico 6-Alem-Tucumán-Lavalle,Siemens CLE,SI,,Citar,,,,25
1,,Pórtico 7-Alem-Lavalle-Corrientes,Siemens CLE,SI,,Citar,,,,25
1,,Pórtico 8-Alem-Corrientes-Sarmiento,Siemens CLE,SI,,Citar,,,,25
1,,Pórtico 9-Alem-Sarmiento-Perón,Siemens CLE,SI,,Citar,,,,25
1,,Pueyrredón Av.-Juncal,Siemens CLS,SI,,Citar,,,,25
1,,Pueyrredón Av.-Beruti,Siemens CLS,SI,,Citar,,,,25
1,,Alvear Av.-R.Ortiz,Siemens CLS,SI,,Citar,,,,25
1,,Las Heras Av.-Azcuénaga,Siemens CLS,SI,,Citar,,,,25
1,,Las Heras Av.-Junín,Siemens CLS,SI,,Citar,,,,25
1,,Las Heras Av.- Ayacucho,Siemens CLS,SI,,Citar,,,,25
1,,Juncal-Uriburu/Junin,Siemens CLS,SI,,Citar,,,,25
1,,Alvear Av.-Ayacucho,Siemens CLS,SI,,Citar,,,,25
1,,Juncal-Azcuénaga,Siemens CLS,SI,,Citar,,,,25
1,,Quintana Manuel Pres. Av.-Ayacucho,Siemens CLS,SI,,Citar,,,,25
1,,López Vicente-Junín,Siemens CLS,SI,,Citar,,,,25
1,,Larrea-Pacheco de Melo,Siemens CLS,SI,,Citar,,,,25
1,,Juncal-Paraná,Siemens CLS,SI,,Citar,,,,25
1,,Azcuénaga-Pacheco de Melo,Siemens CLS,SI,,Citar,,,,25
1,,Larrea-Juncal,Siemens CLS,SI,,Citar,,,,25
1,,Anchorena T. de Dr.-Juncal-Ecuador,Siemens CLS,SI,,Citar,,,,25
1,,Azcuénaga-López Vicente,Siemens CLS,SI,,Citar,,,,25
1,,Las Heras Av.-Uriburu,Siemens CLS,SI,,Citar,,,,25
1,,López Vicente-Ayacucho,Siemens CLS,SI,,Citar,,,,25
1,,Rodríguez Peña-Guido,Siemens CLS,SI,,Citar,,,,25
1,,López Vicente-Rodríguez Peña,Siemens CLS,SI,,Citar,,,,25
1,,Montevideo-Guido,Siemens CLS,SI,,Citar,,,,25
1,,Pacheco de Melo-Junín,Siemens CLS,SI,,Citar,,,,25
1,,Pacheco de Melo-Ayacucho,Siemens CLS,SI,,Citar,,,,25
1,,Peña-Larrea,Siemens CLS,SI,,Citar,,,,25
1,,Peña-Azcuénaga,Siemens CLS,SI,,Citar,,,,25
1,,Uriburu José Evaristo Pres.-French,Siemens CLS,SI,,Citar,,,,25
1,,Uriburu José Evaristo Pres.-Pacheco de Melo,Siemens CLS,SI,,Citar,,,,25
1,,Uriburu José Evaristo Pres.-Peña,Siemens CLS,SI,,Citar,,,,25
1,,Larrea-French,Siemens CLS,SI,,Citar,,,,25
1,,Azcuénaga-French,Siemens CLS,SI,,Citar,,,,25
1,,Azcuénaga-Arenales,Siemens CLS,SI,,Citar,,,,25
1,,Ayacucho-Guido,Siemens CLS,SI,,Citar,,,,25
1,,Laprida-Peña,Siemens CLS,SI,,Citar,,,,25
1,,Callao Av.-Juncal,Siemens CLS,SI,,Citar,,,,25
1,,Callao Av.-Pacheco de Melo,Siemens CLS,SI,,Citar,,,,25
1,,Callao Av.-Las Heras Av.,Siemens CLS,SI,,Citar,,,,25
1,,Callao Av.-López Vicente,Siemens CLS,SI,,Citar,,,,25
1,,Callao Av.-Guido,Siemens CLS,SI,,Citar,,,,25
1,,Callao Av.-Quintana,Siemens CLS,SI,,Citar,,,,25
1,,Callao Av.-Posadas,Siemens CLS,SI,,Citar,,,,25
1,,Juncal-Uruguay,Siemens CLS,SI,,Citar,,,,25
1,,Las Heras Av.-Rodríguez Peña,Siemens CLS,SI,,Citar,,,,25
1,,Quintana Manuel Pres. Av.-Junín/Ortiz R.M. Pres.,Siemens CLS,SI,,Citar,,,,25
1,,Juncal-Rodríguez Peña,Siemens CLS,SI,,Citar,,,,25
1,,Quintana Manuel Pres. Av.-Rodríguez Peña,Siemens CLS,SI,,Citar,,,,25
1,,Alvear Av.-Rodríguez Peña,Siemens CLS,SI,,Citar,,,,25
1,,Alvear Av.-Montevideo,Siemens CLS,SI,,Citar,,,,25
1,,Quintana Manuel Pres. Av.-Montevideo,Siemens CLS,SI,,Citar,,,,25
1,,López Vicente-Montevideo,Siemens CLS,SI,,Citar,,,,25
1,,Quintana Manuel Pres. Av.-Parera,Siemens CLS,SI,,Citar,,,,25
1,,Alvear Av.-Libertad,Siemens CLS,SI,,Citar,,,,25
1,,Juncal-Libertad,Siemens CLS,SI,,Citar,,,,25
1,,Juncal-Talcahuano/Guido,Siemens CLS,SI,,Citar,,,,25
1,,Las Heras Av.-Montevideo,Siemens CLS,SI,,Citar,,,,25
1,,Pellegrini Carlos-Posadas,Siemens CLS,SI,,Citar,,,,25
1,,Juncal-Esmeralda,Siemens CLS,SI,,Citar,,,,25
1,,Alvear Av.-Cerrito,Siemens CLS,SI,,Citar,,,,25
1,,9 de Julio Av.-Posadas,Siemens CLS,SI,,Citar,,,,25
1,,Cerrito-Posadas,Siemens CLS,SI,,Citar,,,,25
1,,Juncal-Suipacha,Siemens CLS,SI,,Citar,,,,25
1,,Quintana Manuel Pres. Av.-Frente Nº 20,Siemens CLS,SI,,Citar,,,,25
1,,Juncal-Ayacucho,Siemens CLS,SI,,Citar,,,,25
1,,Posadas-Libertad,Siemens CLS,SI,,Citar,,,,25
1,,Paraguay-Libertad,Siemens CLS,SI,,Citar,,,,25
1,,Paraguay-Talcahuano,Siemens CLS,SI,,Citar,,,,25
1,,Paraguay-Uruguay,Siemens CLS,SI,,Citar,,,,25
